roi,cell_id,leiden_cluster,umap_1,umap_2,n_genes,total_counts,cell_type
Sample_007_Region,24163-sample_1_lv_0046706_007,1,7.7760086,7.951281,0,81,Mono_mac
Sample_007_Region,24164-sample_1_lv_0046706_007,2,10.82659,7.0363045,0,461,F2
Sample_007_Region,24165-sample_1_lv_0046706_007,6,12.020225,13.625411,0,351,Undifferentiated_KC
Sample_007_Region,24166-sample_1_lv_0046706_007,1,11.728698,11.344554,0,249,Undifferentiated_KC
Sample_007_Region,24167-sample_1_lv_0046706_007,1,9.648528,7.974988,0,477,Undifferentiated_KC
Sample_007_Region,24168-sample_1_lv_0046706_007,6,13.233583,13.643834,0,355,Undifferentiated_KC
Sample_007_Region,24169-sample_1_lv_0046706_007,31,10.471331,-1.3749424,0,306,Undifferentiated_KC
Sample_007_Region,24170-sample_1_lv_0046706_007,6,13.128854,15.264959,0,405,Undifferentiated_KC
Sample_007_Region,24171-sample_1_lv_0046706_007,17,5.3409133,9.724679,0,482,Undifferentiated_KC
Sample_007_Region,24172-sample_1_lv_0046706_007,1,7.4537807,9.808509,0,710,Undifferentiated_KC
Sample_007_Region,24173-sample_1_lv_0046706_007,7,15.90953,11.9331255,0,1202,Undifferentiated_KC
Sample_007_Region,24174-sample_1_lv_0046706_007,6,13.482403,16.594465,0,362,Undifferentiated_KC
Sample_007_Region,24175-sample_1_lv_0046706_007,7,15.876259,12.10485,0,539,MigDC
Sample_007_Region,24176-sample_1_lv_0046706_007,7,15.841448,11.771746,0,356,Undifferentiated_KC
Sample_007_Region,24177-sample_1_lv_0046706_007,7,16.08935,11.741994,0,391,Mono_mac
Sample_007_Region,24178-sample_1_lv_0046706_007,7,6.7506638,9.084471,0,241,Undifferentiated_KC
Sample_007_Region,24179-sample_1_lv_0046706_007,7,16.634607,12.068188,0,391,Differentiated_KC
